Player,Starts,Min,W,D,L,GA,GA90,PKA,FK,CK,OG,SoTA,PSxG,PSxGD,Saves,SavePercent,LaunchCmp,LaunchAtt,PassAtt,Thr,PassLaunchPercent,PassAvgLen,GKAtt,GKLaunchPercent,GKAvgLen,CrossAtt,CrossStop,DefOPA,DefAvgDist
Samuele Perisan,1,90,0,0,1,2,2,0,0,0,0,5,0.7,-1.3,3,60,1,8,22,8,27.3,26.3,12,16.7,29.6,18,0,1,21
Pavao Pervan,9,810,2,1,6,17,1.89,0,2,2,1,36,11.5,-4.5,20,52.8,40,104,263,39,33.5,32.8,37,43.2,39.6,127,1,3,12.1
Denis Petrić,0,24,0,0,0,1,3.75,0,0,1,0,1,0.3,-0.7,0,0,1,2,7,2,28.6,30.7,0,,,4,0,0,
Đorđe Petrović,22,"1,987",13,5,4,38,1.72,1,0,5,3,108,28.3,-6.7,73,65.7,67,214,655,97,22.1,27.8,149,46.3,37.8,312,20,20,12.7
Jordan Pickford,38,"3,420",13,9,16,51,1.34,8,0,9,3,165,52.4,4.4,117,73.9,360,901,1297,141,56.7,41.6,273,60.8,48.3,570,30,54,15.9
Carlo Pinsoglio,0,45,0,0,0,0,0,0,0,0,0,3,0.5,0.5,3,100,2,5,21,1,23.8,31.4,0,,,17,0,0,5
Nick Pope,15,"1,345",9,2,4,16,1.07,0,1,2,0,58,16.8,0.8,42,72.4,41,118,304,88,21.1,28.6,95,56.8,43.8,143,9,28,19
Ivan Provedel,30,"2,699",12,6,12,33,1.1,2,0,1,0,119,31.3,-1.7,86,73.9,101,252,841,103,22.6,30.8,176,35.2,37,377,15,18,13
Ionuț Radu,2,180,1,0,1,7,3.5,0,0,3,0,11,2.9,-4.1,4,36.4,5,15,57,10,19.3,26.9,11,36.4,29.2,19,2,0,9.6
Boris Radunović,7,630,0,2,5,12,1.71,0,0,1,1,27,10.1,-0.9,16,55.6,41,91,156,31,35.9,37,66,53,43.8,98,6,4,11.2
Predrag Rajković,36,"3,240",7,15,14,43,1.19,4,1,4,1,138,41.8,-0.2,95,71.7,322,795,946,117,60.9,44.7,300,73,54.3,502,33,28,13.7
Aaron Ramsdale,6,540,5,1,0,5,0.83,0,0,1,0,14,3.7,-1.3,9,64.3,19,69,169,30,34.9,33.3,19,52.6,41.4,46,8,9,14.6
Federico Ravaglia,6,535,4,1,1,3,0.5,0,1,0,0,18,5.5,2.5,13,83.3,14,49,172,23,18,25.4,34,52.9,41,73,1,4,17.1
David Raya,32,"2,880",23,4,5,24,0.75,2,1,5,1,69,20.4,-2.6,45,68.1,138,372,969,159,32.2,30.7,96,62.5,47.5,329,40,50,17.9
Pepe Reina,2,180,1,1,0,2,1,0,0,0,0,9,1.9,-0.1,7,77.8,6,18,58,12,24.1,30.2,11,36.4,38.8,38,1,0,5.3
Álex Remiro,37,"3,275",16,12,9,36,0.99,5,0,5,1,130,37.9,2.9,94,76.2,182,440,1090,111,30.6,32,163,65.6,50.9,383,18,54,16.9
Guillaume Restes,34,"3,060",11,10,13,46,1.35,4,2,6,0,139,45.3,-0.7,93,69.8,92,285,702,93,27.4,29.3,193,48.2,38.9,490,7,16,10.7
Manuel Riemann,33,"2,970",7,12,14,70,2.12,9,0,9,3,185,59.6,-7.4,116,67,430,1041,1498,89,61,42.5,208,61.1,46.9,510,35,104,19.8
Rémy Riou,3,270,0,1,2,6,2,0,1,0,0,14,4.7,-1.3,8,57.1,5,24,81,13,16,26.1,23,47.8,39,32,3,3,13.4
Francesco Rossi,0,5,0,0,0,0,0,0,0,0,0,1,0.8,0.8,1,100,0,1,1,1,0,14,1,100,67,2,0,0,
Frederik Rønnow,33,"2,970",9,6,18,56,1.7,5,2,7,1,162,51.7,-3.3,105,68.5,198,525,1096,174,35.2,33.6,218,63.8,47.4,539,54,37,12.9
José Sá,35,"3,037",12,7,16,58,1.72,8,1,7,1,188,65.9,8.9,131,73.4,87,424,841,190,33.3,33,253,56.9,42.6,522,45,28,12.6
Brice Samba,33,"2,970",14,8,11,35,1.06,6,0,6,1,136,42.3,8.3,101,78.7,163,369,948,143,31.8,31.5,170,40,33.5,388,32,39,14.8
Robert Sánchez,16,"1,433",5,4,7,25,1.57,2,0,3,0,78,24.2,-0.8,52,70.5,61,147,516,87,21.3,28.1,91,40.7,33.7,202,19,27,15.8
Marcel Schuhen,31,"2,790",3,7,21,76,2.45,1,2,7,2,198,68,-6,123,62.1,245,618,1204,182,36.3,34.8,289,62.6,48.5,453,24,51,16.5
Marvin Schwäbe,34,"3,060",5,12,17,60,1.76,3,0,10,0,168,62,2,108,66.1,135,372,1148,101,28.4,31.4,149,30.9,34.3,504,14,21,13.4
Alexander Schwolow,1,90,0,0,1,2,2,0,0,0,0,6,1.2,-0.8,4,66.7,4,10,28,4,32.1,34.1,8,12.5,28.4,13,0,0,5
Simone Scuffet,31,"2,789",8,10,13,55,1.77,3,3,9,2,129,45.1,-7.9,76,59.7,161,452,684,106,43.3,37.1,243,64.2,46.9,482,22,20,12.1
Matz Sels,16,"1,440",4,4,8,27,1.69,1,0,9,2,61,17.2,-7.8,36,57.4,75,179,283,51,45.9,36.6,93,52.7,41.4,223,11,4,9.4
Matz Sels,19,"1,710",6,7,6,24,1.26,1,0,2,2,62,20,-2,40,62.9,88,226,505,68,37.4,34.5,113,32.7,33.7,257,6,19,13.9
James Shea,0,15,0,0,0,0,0,0,0,0,0,2,0.1,0.1,2,100,3,6,6,1,83.3,50.8,3,33.3,37.3,3,0,1,19
Rui Silva,28,"2,475",10,9,9,36,1.31,7,2,3,2,120,37.5,3.5,85,75.8,129,380,772,119,36,33.5,183,55.7,43,375,31,34,14.9
Marco Silvestri,17,"1,530",1,11,5,28,1.65,6,0,2,0,68,25.7,-2.3,40,67.6,57,168,345,68,33.6,32.3,105,49.5,42.1,282,5,7,13.1
Unai Simón,36,"3,182",18,11,7,33,0.93,1,0,2,4,122,38,9,90,73.8,220,679,982,144,48.5,38.7,240,84.6,60.9,450,31,46,16.3
Antonio Sivera,34,"3,060",11,8,15,38,1.12,8,0,3,2,123,38.4,2.4,87,75.6,279,701,807,116,62.3,44.6,295,67.1,47.8,501,25,29,13.1
Łukasz Skorupski,32,"2,880",14,13,5,29,0.91,3,1,3,1,106,26.6,-1.4,77,75.5,103,297,829,136,26.3,29.6,188,42,38.7,432,12,15,12.2
Daniele Sommariva,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,3,2,0,100,54.5,1,100,76,2,1,0,15
Yann Sommer,34,"3,060",27,6,1,19,0.56,2,0,3,0,98,25.5,6.5,78,82.7,104,226,1033,120,17.4,26.1,201,22.9,27.9,395,18,14,12.1
David Soria,38,"3,413",10,13,15,52,1.37,5,0,6,0,171,53.9,1.9,118,72.5,339,908,979,123,66.2,45.8,310,83.9,57.3,458,17,62,17.3
Alessandro Sorrentino,5,548,0,1,4,16,2.63,4,0,1,0,32,14.4,-1.6,16,62.5,18,56,151,29,26.5,30.6,42,38.1,36.1,62,3,3,16.8
Marco Sportiello,7,630,3,3,1,11,1.57,1,0,0,1,33,8.9,-1.1,23,69.7,20,51,230,40,20.4,26.9,17,23.5,29.1,81,5,9,15.4
Jason Steele,17,"1,530",5,4,8,34,2,3,1,5,2,74,25.7,-6.3,42,58.1,47,132,617,69,20.1,26.6,54,14.8,18.8,173,7,41,20.6
Thomas Strakosha,1,135,0,0,1,2,1.33,0,0,0,0,8,1.5,-0.5,6,75,12,30,56,5,41.1,35.8,15,46.7,39.9,37,2,1,10
Mile Svilar,15,"1,350",7,4,4,19,1.27,1,0,3,1,77,20.2,2.2,58,76.6,44,116,516,77,15.9,25.3,89,38.2,36.2,208,16,7,12
Wojciech Szczęsny,35,"3,150",17,13,5,30,0.86,2,0,4,2,108,28.3,0.3,79,74.1,147,340,828,134,32,32.8,174,43.1,40.2,555,26,20,11.6
Arnau Tenas,5,529,2,2,1,7,1.19,0,0,2,0,25,6,-1,18,72,14,46,174,19,23,29.6,37,16.2,27.1,71,2,5,14.8
Marc-André ter Stegen,28,"2,520",20,5,3,27,0.96,2,0,1,0,102,27.7,0.7,75,75.5,92,167,871,115,14.4,26.3,163,25.8,30.9,334,13,31,15.6
Pietro Terracciano,33,"2,970",15,8,10,35,1.06,6,3,5,0,126,40.2,5.2,90,77,164,382,1051,120,29,32.1,176,43.8,38.2,307,7,23,14.6
James Trafford,28,"2,520",3,5,20,62,2.21,5,0,10,2,166,54.1,-5.9,106,65.7,138,606,1332,162,33.9,31.3,198,78.3,54.2,419,30,43,15
Kevin Trapp,32,"2,880",10,13,9,48,1.5,9,0,4,0,137,48.3,0.3,87,71.5,102,361,949,137,28.9,29.8,212,41,36.2,452,16,30,15.2
Mark Travers,4,360,2,0,2,5,1.25,1,0,0,0,18,5,0,13,77.8,22,72,92,13,55.4,41.7,26,80.8,55.6,60,3,3,14.8
Stefano Turati,31,"2,745",6,9,16,58,1.9,5,0,10,1,152,47.5,-9.5,94,65.1,72,316,919,147,27.3,29.2,144,45.1,38.8,412,18,19,13.7
Matt Turner,17,"1,530",4,5,8,28,1.65,2,1,4,0,80,22.1,-5.9,52,67.5,126,280,436,99,42.7,35.7,136,69.1,47,296,30,18,13.3
Sven Ulreich,11,990,7,2,2,12,1.09,1,1,2,0,31,11.8,-0.2,19,64.5,26,79,348,57,20.4,26.2,47,17,26.4,108,5,16,19.9
Álvaro Vallés,37,"3,263",10,10,17,44,1.21,5,0,5,3,152,48.7,7.7,108,74.3,137,447,1762,194,21.7,27.3,151,42.4,39.1,521,29,96,17.8
Bart Verbruggen,21,"1,890",7,8,6,28,1.33,3,0,3,0,91,25.4,-2.6,63,72.5,55,142,789,117,17.1,24.4,72,9.7,15.7,232,17,31,15.8
Guglielmo Vicario,38,"3,420",20,6,12,61,1.61,7,1,8,3,167,60,2,109,67.7,53,225,1363,193,14.3,24,201,14.9,22.2,511,33,81,17.1
Fran Vieites,3,315,1,2,0,4,1.14,0,1,0,0,18,4.5,0.5,14,77.8,13,50,82,18,37.8,36.5,35,54.3,46.4,65,3,2,10.5
Iván Villar,12,"1,014",2,4,6,18,1.6,2,0,2,1,44,16.3,-0.7,26,63.6,39,138,223,48,35.4,34.4,98,60.2,45.7,136,5,9,13.2
Odisseas Vlachodimos,5,450,1,0,4,12,2.4,1,0,2,0,22,7.9,-4.1,10,50,28,60,130,21,25.4,29.6,44,61.4,44.3,92,3,2,10.3
Robin Zentner,30,"2,700",7,12,11,48,1.6,3,1,2,1,128,49.2,2.2,81,64.8,180,512,862,146,47.3,38.5,177,58.8,46.4,393,42,48,16
Michael Zetterer,27,"2,430",9,9,9,37,1.37,4,0,4,1,128,41,5,92,74.2,145,330,977,161,28.5,32.7,144,36.1,38.1,407,34,30,14.6
