Player,Starts,Min,W,D,L,GA,GA90,PKA,FK,CK,OG,SoTA,PSxG,PSxGD,Saves,SavePercent,LaunchCmp,LaunchAtt,PassAtt,Thr,PassLaunchPercent,PassAvgLen,GKAtt,GKLaunchPercent,GKAvgLen,CrossAtt,CrossStop,DefOPA,DefAvgDist
André Ferreira,14,"1,340",0,5,9,29,1.95,3,0,2,1,77,27.8,-0.2,49,66.2,73,186,388,88,31.4,32.2,110,58.2,44.3,195,6,13,12.6
Vincenzo Fiorillo,4,360,0,2,2,8,2,0,0,4,0,26,7.3,-0.7,18,69.2,27,96,72,9,68.1,44.9,54,87,56.6,77,4,1,7.6
Mark Flekken,37,"3,285",10,9,18,63,1.73,2,0,6,0,176,55.4,-7.6,113,65.3,242,647,1288,131,36.6,34.5,289,60.9,46.7,568,44,37,12.6
Wes Foderingham,29,"2,649",3,4,22,79,2.68,5,0,8,5,204,70.5,-3.5,130,63.7,206,619,782,101,54.6,40.2,262,73.3,52.3,468,28,42,14.7
Daniel Fuzato,0,7,0,0,0,2,25.71,0,0,1,0,2,1.3,-0.7,0,0,2,7,6,1,50,39.2,4,100,71.8,5,1,0,10.7
Paulo Gazzaniga,38,"3,420",25,6,7,46,1.21,5,0,8,0,168,51.1,5.1,121,75.6,155,420,1140,178,25.6,30,246,52,44.8,534,41,33,13.2
Luca Gemello,2,180,0,0,2,5,2.5,1,0,0,0,9,3.6,-1.4,4,55.6,10,29,104,8,26.9,31.1,12,8.3,19.7,24,3,3,12
David Gil,4,372,0,3,1,8,1.94,0,0,0,1,24,5.3,-1.7,17,66.7,51,125,104,8,76.9,49.3,48,93.8,63.5,91,7,0,7
Pierluigi Gollini,7,630,3,1,3,8,1.14,0,0,1,0,24,8.2,0.2,16,66.7,27,68,213,28,22.1,29.5,53,39.6,36.3,82,5,9,16.2
Mathieu Gorgelin,1,90,0,0,1,2,2,1,0,0,0,5,2.9,0.9,3,80,3,9,17,0,47.1,33.1,2,50,32.5,12,0,1,14.5
Jens Grahl,2,180,1,1,0,2,1,0,0,0,0,9,1.4,-0.6,7,77.8,4,29,77,15,31.2,34.4,15,33.3,37.9,33,4,4,15.7
Ivo Grbić,9,771,0,3,6,25,2.92,0,0,4,2,59,14.7,-8.3,36,57.6,65,199,207,25,57.5,41.2,89,89.9,59.4,193,11,14,14.4
Dominik Greif,1,90,0,1,0,0,0,0,0,0,0,4,0.7,0.7,4,100,10,18,23,3,52.2,42,9,66.7,54.2,12,0,1,23
Vicente Guaita,26,"2,403",8,7,11,39,1.46,4,0,5,2,120,39.7,2.7,83,70.8,137,356,589,134,39.4,35.5,213,58.2,45.3,420,23,27,13.3
Péter Gulácsi,13,"1,170",9,4,0,9,0.69,0,1,1,1,41,10.3,2.3,33,78,22,79,373,58,12.9,25.1,97,32,32.2,175,7,14,14.5
Dean Henderson,18,"1,620",8,4,6,30,1.67,1,0,3,1,86,27.4,-1.6,57,66.3,59,245,377,52,46.7,38.6,105,65.7,47,246,5,17,13.8
Sergio Herrera,32,"2,869",12,7,13,47,1.47,0,0,6,0,132,45.6,-1.4,84,64.4,282,658,961,100,52,40.4,222,71.2,51.2,468,29,43,16.4
Lukáš Hrádecký,33,"2,970",28,5,0,24,0.73,0,0,4,0,102,27.5,3.5,78,76.5,71,202,736,165,20.8,27.6,145,33.8,34.5,313,27,39,16.5
Sam Johnstone,20,"1,796",5,6,9,27,1.35,2,0,4,1,67,20,-6,41,62.7,117,355,453,63,55,41.2,141,75.2,52.8,339,24,12,11.2
Filip Jørgensen,36,"3,240",13,10,13,63,1.75,6,1,9,1,205,59.8,-2.2,143,72.2,144,360,1055,178,24.5,29.7,245,41.6,37.8,650,34,36,13.4
Thomas Kaminski,38,"3,405",6,8,24,85,2.25,4,0,13,4,221,77.6,-3.4,140,63.3,271,808,1121,150,52,39.5,341,66,47.5,558,16,76,20.5
Loris Karius,1,90,0,0,1,4,4,0,0,1,1,7,2,-1,4,42.9,3,18,27,5,48.1,36.3,9,55.6,41.8,10,1,3,19.5
Caoimhín Kelleher,10,900,8,2,0,11,1.1,0,0,3,1,38,11.3,1.3,28,71.1,32,102,411,52,22.4,27.3,28,35.7,34.9,77,5,13,17
Gregor Kobel,27,"2,365",14,8,5,34,1.29,5,0,9,1,118,36.8,3.8,84,75.4,106,268,1006,106,19.6,28.1,165,43,38.5,359,7,17,12.5
Philipp Köhn,22,"1,980",11,5,6,32,1.45,5,1,6,1,97,32,1,65,72.2,82,249,536,91,32.5,32.1,130,57.7,43.5,282,22,19,11.3
Tomáš Koubek,3,270,0,0,3,8,2.67,0,0,2,0,25,6.7,-1.3,17,68,16,40,74,6,36.5,34.5,24,54.2,46.5,36,2,2,11.6
Matej Kovar,1,90,0,1,0,0,0,0,0,0,0,3,0.4,0.4,3,100,0,0,17,6,0,22.1,0,,,3,1,1,15
Alban Lafont,28,"2,496",7,4,17,43,1.55,8,0,2,0,118,42.4,-0.6,75,70.3,123,388,839,145,34.2,34,166,60.8,46.9,385,33,33,13
Nicola Leali,2,176,1,0,1,2,1.02,0,0,0,0,9,2.8,0.8,7,77.8,18,48,62,3,69.4,44.7,10,50,40.6,27,2,1,15.2
Jean-Louis Leca,1,90,0,1,0,2,2,0,0,0,0,2,1,-1,0,0,1,10,22,5,31.8,29,4,75,60.5,8,0,0,9.8
Benjamin Lecomte,30,"2,700",9,11,10,37,1.23,4,2,3,3,137,36.8,2.8,102,75.9,150,436,781,137,44.2,36.6,221,41.2,36.4,471,29,13,9.5
Jeremías Ledesma,34,"3,048",6,12,16,47,1.39,2,0,6,0,151,46.4,-0.6,104,70.2,313,785,897,115,60.4,44,284,85.6,62.1,526,53,45,12.9
Bernd Leno,38,"3,420",13,8,17,61,1.61,8,2,3,4,190,55.7,-1.3,133,72.1,144,439,1372,167,23.7,28.5,201,56.7,44.7,472,19,40,14.2
Anthony Lopes,31,"2,790",16,4,11,49,1.58,4,1,7,1,155,43.5,-4.5,106,71,132,362,839,156,34.1,32.4,196,38.8,34.1,438,36,28,12.4
Pau López,33,"2,939",13,11,9,39,1.19,3,1,7,1,124,32.6,-5.4,86,71,93,325,1044,113,24.8,29.4,149,44.3,37.3,406,15,25,13.9
Andriy Lunin,21,"1,890",16,5,0,17,0.81,1,0,2,0,65,21.2,4.2,48,75.4,35,99,548,95,13.7,25.2,116,20.7,28.7,283,27,23,12.2
Andreas Luthe,1,90,0,0,1,4,4,0,0,0,1,4,2.7,-0.3,1,0,20,43,42,2,85.7,51.3,7,100,61.1,13,0,0,7.7
Mike Maignan,29,"2,609",19,5,5,34,1.17,7,2,3,0,120,29.8,-4.2,86,77.5,119,284,1070,188,21.1,28.2,147,39.5,38,339,37,36,15.2
Radosław Majecki,12,"1,080",9,2,1,10,0.83,0,0,0,1,54,14.7,5.7,45,81.5,39,121,296,68,31.1,32,80,36.3,33.4,160,13,7,11
Giorgi Mamardashvili,37,"3,284",13,10,14,41,1.12,3,0,4,2,145,49.2,10.2,103,73.8,185,671,864,142,57.3,41.4,245,71.8,53.4,530,45,31,12.3
Steve Mandanda,34,"3,060",12,10,12,46,1.35,3,0,5,3,147,38.2,-4.8,104,70.7,134,416,1017,149,29.9,31.5,192,58.3,43.1,451,36,37,15.1
Christos Mandas,8,721,6,1,1,6,0.75,0,0,2,0,29,7,1,23,79.3,38,114,240,29,42.5,37.7,29,41.4,37.9,99,6,5,13.1
Vito Mannone,1,91,0,1,0,2,1.98,0,0,0,0,5,1.7,-0.3,3,60,5,16,37,1,40.5,35.9,1,100,61,11,2,4,15
Diego Mariño,1,90,0,0,1,2,2,2,0,0,0,4,2.1,0.1,2,100,1,5,25,6,20,24.1,2,0,16.5,6,0,2,22.7
Unai Marrero,1,142,0,0,1,3,1.9,1,0,0,0,5,2.9,-0.1,2,60,10,25,37,5,45.9,37,8,100,63.4,27,1,4,20.1
Tommaso Martinelli,1,90,1,0,0,2,2,0,0,0,0,3,1.4,-0.6,1,33.3,4,15,40,3,30,32.3,9,33.3,32,14,0,0,11
Emiliano Martínez,34,"3,015",19,8,7,48,1.43,1,0,10,4,139,50.8,6.8,95,66.2,121,332,1270,157,21,27.7,159,40.9,36.1,373,45,69,17.5
